Accession	Description	Topology	Size (bp)	Phylum	Class	Order	Family	Genus	Species	Plasmid	Strain	Collection date	Country	REP types	MOB types	MPF types 	OriT types	Predicted Mobility
NZ_CP024533.1	Klebsiella pneumoniae strain INF157 plasmid unnamed5, complete sequence	circular	4510	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed5	INF157	NA	NA	rep_cluster_2050,ColRNAI_rep_cluster_1987	NA	NA	NA	Non-mobilizable
NZ_CP024534.1	Klebsiella pneumoniae strain INF157 plasmid unnamed6, complete sequence	circular	3825	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed6	INF157	NA	NA	ColRNAI_rep_cluster_1857,rep_cluster_2050	NA	NA	NA	Non-mobilizable
NZ_CP024537.1	Klebsiella pneumoniae strain KSB1_9D plasmid unnamed2, complete sequence	circular	147932	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed2	KSB1_9D	NA	NA	IncFII,IncFII,IncFIB	MOBF	MPF_F	NA	Conjugative
NZ_CP024541.1	Klebsiella pneumoniae strain KSB1_9D plasmid unnamed6, complete sequence	circular	3825	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed6	KSB1_9D	NA	NA	rep_cluster_2050,ColRNAI_rep_cluster_1857	NA	NA	NA	Non-mobilizable
NZ_CP024546.1	Klebsiella pneumoniae strain INF059 plasmid unnamed1, complete sequence	circular	110374	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed1	INF059	NA	NA	IncFII,IncFII,IncFIA	MOBF	MPF_F	NA	Conjugative
NZ_CP024547.1	Klebsiella pneumoniae strain INF059 plasmid unnamed2, complete sequence	circular	71587	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed2	INF059	NA	NA	rep_cluster_959,IncFII	MOBF	MPF_F	NA	Conjugative
NZ_CP024550.1	Klebsiella pneumoniae strain INF163 plasmid unnamed1, complete sequence	circular	187611	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed1	INF163	NA	NA	IncA/C2	MOBH	MPF_F	MOBH	Conjugative
NZ_CP024554.1	Klebsiella pneumoniae strain INF163 plasmid unnamed5, complete sequence	circular	4510	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed5	INF163	NA	NA	rep_cluster_2050,ColRNAI_rep_cluster_1987	NA	NA	NA	Non-mobilizable
NZ_CP024557.1	Klebsiella pneumoniae strain INF164 plasmid unnamed1, complete sequence	circular	217685	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed1	INF164	NA	NA	IncA/C2	MOBH	MPF_F	MOBH	Conjugative
NZ_CP024558.1	Klebsiella pneumoniae strain INF164 plasmid unnamed2, complete sequence	circular	147945	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed2	INF164	NA	NA	IncFIB,IncFII,IncFII	MOBF	MPF_F	NA	Conjugative
NZ_CP024560.1	Klebsiella pneumoniae strain INF164 plasmid unnamed4, complete sequence	circular	4660	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed4	INF164	NA	NA	rep_cluster_2050,ColRNAI_rep_cluster_1987	NA	NA	NA	Non-mobilizable
NZ_CP024561.1	Klebsiella pneumoniae strain INF164 plasmid unnamed5, complete sequence	circular	4510	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed5	INF164	NA	NA	ColRNAI_rep_cluster_1987,rep_cluster_2050	NA	NA	NA	Non-mobilizable
NZ_CP024562.1	Klebsiella pneumoniae strain INF164 plasmid unnamed6, complete sequence	circular	3825	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed6	INF164	NA	NA	rep_cluster_2050,ColRNAI_rep_cluster_1857	NA	NA	NA	Non-mobilizable
NZ_CP024564.1	Klebsiella pneumoniae strain INF278 plasmid unnamed1, complete sequence	circular	187611	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed1	INF278	NA	NA	IncA/C2	MOBH	MPF_F	MOBH	Conjugative
NZ_CP024566.1	Klebsiella pneumoniae strain INF278 plasmid unnamed3, complete sequence	circular	89345	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed3	INF278	NA	NA	IncR,rep_cluster_1418,IncFIA	NA	NA	NA	Non-mobilizable
NZ_CP024567.1	Klebsiella pneumoniae strain INF278 plasmid unnamed4, complete sequence	circular	4660	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed4	INF278	NA	NA	rep_cluster_2050,ColRNAI_rep_cluster_1987	NA	NA	NA	Non-mobilizable
NZ_CP024568.1	Klebsiella pneumoniae strain INF278 plasmid unnamed5, complete sequence	circular	4510	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed5	INF278	NA	NA	ColRNAI_rep_cluster_1987,rep_cluster_2050	NA	NA	NA	Non-mobilizable
NZ_CP024569.1	Klebsiella pneumoniae strain INF278 plasmid unnamed6, complete sequence	circular	3825	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed6	INF278	NA	NA	rep_cluster_2050,ColRNAI_rep_cluster_1857	NA	NA	NA	Non-mobilizable
NZ_CP024573.1	Klebsiella pneumoniae strain INF274 plasmid unnamed3, complete sequence	circular	90173	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed3	INF274	NA	NA	IncFIA,rep_cluster_1418,IncR	NA	NA	NA	Non-mobilizable
NZ_CP024574.1	Klebsiella pneumoniae strain INF274 plasmid unnamed4, complete sequence	circular	9326	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed4	INF274	NA	NA	rep_cluster_2050,ColRNAI_rep_cluster_1987	NA	NA	NA	Non-mobilizable
NZ_CP024575.1	Klebsiella pneumoniae strain INF274 plasmid unnamed5, complete sequence	circular	3825	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed5	INF274	NA	NA	rep_cluster_2050,ColRNAI_rep_cluster_1857	NA	NA	NA	Non-mobilizable
NZ_CP024577.1	Acinetobacter baumannii strain AbPK1 plasmid pAbPK1a, complete sequence	circular	15113	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	pAbPK1a	AbPK1	2012	Pakistan: Sargodha district of the Punjab province	rep_cluster_1226	MOBP	NA	NA	Mobilizable
NZ_CP024578.1	Acinetobacter baumannii strain AbPK1 plasmid pAbPK1b, complete sequence	circular	79335	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	pAbPK1b	AbPK1	2012	Pakistan: Sargodha district of the Punjab province	rep_cluster_734	MOBF,MOBP	MPF_F	NA	Conjugative
NZ_CP024579.1	Klebsiella pneumoniae strain FDAARGOS_445 plasmid unnamed2, complete sequence	circular	4163	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed2	FDAARGOS_445	nov-13	Canada: BC	ColRNAI_rep_cluster_1987,rep_cluster_2050	NA	NA	NA	Non-mobilizable
NZ_CP024580.1	Klebsiella pneumoniae strain FDAARGOS_445 plasmid unnamed1, complete sequence	circular	4709	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed1	FDAARGOS_445	nov-13	Canada: BC	ColRNAI_rep_cluster_1987,rep_cluster_2050	NA	NA	NA	Non-mobilizable
NZ_CP024582.1	Roseomonas sp. FDAARGOS_362 plasmid unnamed1, complete sequence	circular	382413	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas sp. FDAARGOS_362	unnamed1	FDAARGOS_362	01-janv-15	USA: DC	NA	NA	NA	NA	Non-mobilizable
NZ_CP024583.1	Roseomonas sp. FDAARGOS_362 plasmid unnamed2, complete sequence	circular	256041	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas sp. FDAARGOS_362	unnamed2	FDAARGOS_362	01-janv-15	USA: DC	NA	NA	NA	NA	Non-mobilizable
NZ_CP024584.1	Roseomonas sp. FDAARGOS_362 plasmid unnamed, complete sequence	circular	127617	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas sp. FDAARGOS_362	unnamed	FDAARGOS_362	01-janv-15	USA: DC	NA	NA	NA	NA	Non-mobilizable
NZ_CP024585.1	Roseomonas sp. FDAARGOS_362 plasmid unnamed, complete sequence	circular	9720	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas sp. FDAARGOS_362	unnamed	FDAARGOS_362	01-janv-15	USA: DC	NA	NA	NA	NA	Non-mobilizable
NZ_CP024586.1	Roseomonas sp. FDAARGOS_362 plasmid unnamed4, complete sequence	circular	62676	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas sp. FDAARGOS_362	unnamed4	FDAARGOS_362	01-janv-15	USA: DC	NA	NA	NA	NA	Non-mobilizable
NZ_CP024587.1	Roseomonas sp. FDAARGOS_362 plasmid unnamed3, complete sequence	circular	143864	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas sp. FDAARGOS_362	unnamed3	FDAARGOS_362	01-janv-15	USA: DC	NA	NA	NA	NA	Non-mobilizable
NZ_CP024589.1	Roseomonas sp. FDAARGOS_362 plasmid unnamed5, complete sequence	circular	11772	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas sp. FDAARGOS_362	unnamed5	FDAARGOS_362	01-janv-15	USA: DC	rep_cluster_1420	NA	MPF_T	NA	Non-mobilizable
NZ_CP024609.1	Massilia violaceinigra strain B2 plasmid unnamed, complete sequence	circular	87120	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. B2	unnamed	B2	2006	China: Xinjiang Municipality	NA	NA	NA	NA	Non-mobilizable
NZ_CP024615.1	Escherichia coli strain SMN152SH1 plasmid pO177C1, complete sequence	circular	6675	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pO177C1	SMN152SH1	21/05/2004	USA:Walla Walla,WA	NA	NA	NA	MOBP	Mobilizable
NZ_CP024616.1	Escherichia coli strain SMN152SH1 plasmid pO177B1, complete sequence	circular	48983	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pO177B1	SMN152SH1	21/05/2004	USA:Walla Walla,WA	NA	NA	NA	NA	Non-mobilizable
NZ_CP024617.1	Escherichia coli strain SMN152SH1 plasmid pO177A1, complete sequence	circular	88896	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pO177A1	SMN152SH1	21/05/2004	USA:Walla Walla,WA	IncFII,IncFIIA,IncFIB	MOBP,MOBF	MPF_F	NA	Conjugative
NZ_CP024648.1	Bacillus sp. Lzh-5 plasmid unnamed, complete sequence	circular	8933	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. Lzh-5	unnamed	Lzh-5	20-oct-15	China:taian	ColRNAI_rep_cluster_1991	MOBV,MOBV	NA	NA	Mobilizable
NZ_CP024651.1	Escherichia coli strain BH100 substr. MG2014 plasmid pAp, complete sequence	circular	14241	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pAp	BH100	1974	Brazil: Belo Horizonte	ColRNAI_rep_cluster_1857	MOBC	NA	NA	Mobilizable
NZ_CP024652.2	Escherichia coli strain BH100 substr. MG2014 plasmid pBH100-1, complete sequence	circular	107274	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pBH100-1	BH100	1974	Brazil: Belo Horizonte	IncFII,IncFIIA	MOBF	MPF_F	MOBP	Conjugative
NZ_CP024656.1	Bacillus cereus strain MLY1 plasmid pMLY1.2, complete sequence	linear	102005	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	pMLY1.2	MLY1	mars-08	China: Shaoxing	NA	NA	NA	NA	Non-mobilizable
NZ_CP024657.1	Bacillus cereus strain MLY1 plasmid pMLY1.1, complete sequence	linear	158531	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	pMLY1.1	MLY1	mars-08	China: Shaoxing	NA	MOBP	NA	NA	Mobilizable
NZ_CP024658.1	Bacillus cereus strain MLY1 plasmid pMLY1.3, complete sequence	linear	124659	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	pMLY1.3	MLY1	mars-08	China: Shaoxing	NA	NA	NA	NA	Non-mobilizable
NZ_CP024662.1	Escherichia coli strain 90-9269 plasmid unnamed1, complete sequence	circular	160351	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	unnamed1	90-9269	1988	Bangladesh	IncFIB,IncFIIA,IncFII	MOBF,MOBP	MPF_F	MOBP	Conjugative
NZ_CP024664.1	Escherichia coli strain 90-9269 plasmid unnamed3, complete sequence	circular	52270	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	unnamed3	90-9269	1988	Bangladesh	IncX1	MOBP	MPF_T	NA	Conjugative
NZ_CP024668.1	Escherichia coli strain F5176C6 plasmid unnamed1, complete sequence	circular	167071	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	unnamed1	F5176C6	1997	NA	IncFII,IncFIIA	MOBP	MPF_F	MOBF	Conjugative
NZ_CP024669.1	Escherichia coli strain F5176C6 plasmid unnamed2, complete sequence	circular	110612	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	unnamed2	F5176C6	1997	NA	IncFIIA,IncFII	MOBP,MOBF	MPF_F	NA	Conjugative
NZ_CP024670.1	Escherichia coli strain F5176C6 plasmid unnamed3, complete sequence	circular	46919	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	unnamed3	F5176C6	1997	NA	IncX4	MOBP	MPF_T	NA	Conjugative
NZ_CP024713.1	Pseudomonas syringae pv. actinidiae strain MAFF212063 plasmid pMAFF212063-A, complete sequence	circular	68316	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae	pMAFF212063-A	MAFF212063	2012	Japan: Saga	rep_cluster_283	MOBP	MPF_T	MOBP	Conjugative
NZ_CP024714.1	Pseudomonas syringae pv. actinidiae strain MAFF212063 plasmid pMAFF212063-B, complete sequence	circular	68156	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae	pMAFF212063-B	MAFF212063	2012	Japan: Saga	rep_cluster_283	MOBP	MPF_I	NA	Conjugative
NZ_CP024718.1	Escherichia coli strain LS4 plasmid p1LS4, complete sequence	circular	111779	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	p1LS4	LS4	01/03/2015	China:LaSa, XiZang	IncFIB,IncFIA,IncFIIA,IncFII	MOBF	MPF_F	MOBF	Conjugative
NZ_CP024719.1	Escherichia coli strain LS4 plasmid p2LS4, complete sequence	circular	5162	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	p2LS4	LS4	01/03/2015	China:LaSa, XiZang	ColRNAI_rep_cluster_1291	MOBQ	NA	NA	Mobilizable
NZ_CP024721.1	Escherichia coli isolate NQ3 plasmid p1NQ3, complete sequence	circular	111776	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	p1NQ3	NA	01/03/2015	China:NaQu, Xizang	IncFIIA,IncFII,IncFIB,IncFIA	MOBF	MPF_F	MOBF	Conjugative
NZ_CP024722.1	Escherichia coli isolate NQ3 plasmid p2NQ3, complete sequence	circular	5167	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	p2NQ3	NA	01/03/2015	China:NaQu, Xizang	ColRNAI_rep_cluster_1291	MOBQ	NA	NA	Mobilizable
NZ_CP024786.1	Nostoc flagelliforme CCNUN1 plasmid pNFSY01, complete sequence	circular	28479	Cyanobacteria	NA	Nostocales	Nostocaceae	Nostoc	Nostoc flagelliforme	pNFSY01	CCNUN1	2005-09	China: Sunitezuoqi	NA	NA	NA	NA	Non-mobilizable
NZ_CP024787.1	Nostoc flagelliforme CCNUN1 plasmid pNFSY02, complete sequence	circular	68844	Cyanobacteria	NA	Nostocales	Nostocaceae	Nostoc	Nostoc flagelliforme	pNFSY02	CCNUN1	2005-09	China: Sunitezuoqi	NA	NA	NA	NA	Non-mobilizable
NZ_CP024788.1	Nostoc flagelliforme CCNUN1 plasmid pNFSY03, complete sequence	circular	101520	Cyanobacteria	NA	Nostocales	Nostocaceae	Nostoc	Nostoc flagelliforme	pNFSY03	CCNUN1	2005-09	China: Sunitezuoqi	NA	NA	NA	NA	Non-mobilizable
NZ_CP024789.1	Nostoc flagelliforme CCNUN1 plasmid pNFSY04, complete sequence	circular	144585	Cyanobacteria	NA	Nostocales	Nostocaceae	Nostoc	Nostoc flagelliforme	pNFSY04	CCNUN1	2005-09	China: Sunitezuoqi	NA	NA	NA	NA	Non-mobilizable
NZ_CP024790.1	Nostoc flagelliforme CCNUN1 plasmid pNFSY05, complete sequence	circular	152318	Cyanobacteria	NA	Nostocales	Nostocaceae	Nostoc	Nostoc flagelliforme	pNFSY05	CCNUN1	2005-09	China: Sunitezuoqi	rep_cluster_317	NA	NA	NA	Non-mobilizable
NZ_CP024791.1	Nostoc flagelliforme CCNUN1 plasmid pNFSY06, complete sequence	circular	239322	Cyanobacteria	NA	Nostocales	Nostocaceae	Nostoc	Nostoc flagelliforme	pNFSY06	CCNUN1	2005-09	China: Sunitezuoqi	rep_cluster_1622,rep_cluster_317,rep_cluster_838	NA	NA	NA	Non-mobilizable
NZ_CP024792.1	Nostoc flagelliforme CCNUN1 plasmid pNFSY07, complete sequence	circular	327173	Cyanobacteria	NA	Nostocales	Nostocaceae	Nostoc	Nostoc flagelliforme	pNFSY07	CCNUN1	2005-09	China: Sunitezuoqi	NA	NA	NA	NA	Non-mobilizable
NZ_CP024793.1	Nostoc flagelliforme CCNUN1 plasmid pNFSY08, complete sequence	circular	805120	Cyanobacteria	NA	Nostocales	Nostocaceae	Nostoc	Nostoc flagelliforme	pNFSY08	CCNUN1	2005-09	China: Sunitezuoqi	rep_cluster_317	MOBQ	MPF_T	NA	Conjugative
NZ_CP024802.1	Escherichia coli strain AMA1167 plasmid pAMA1167-3, complete sequence	circular	2336	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pAMA1167-3	AMA1167	2015	Denmark	ColRNAI_rep_cluster_1987	NA	NA	NA	Non-mobilizable
NZ_CP024803.1	Escherichia coli strain AMA1167 plasmid pAMA1167-4, complete sequence	circular	2088	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pAMA1167-4	AMA1167	2015	Denmark	Inc13	NA	NA	NA	Non-mobilizable
NZ_CP024804.1	Escherichia coli strain AMA1167 plasmid pAMA1167-5, complete sequence	circular	1934	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pAMA1167-5	AMA1167	2015	Denmark	ColRNAI_rep_cluster_1993	NA	NA	NA	Non-mobilizable
NZ_CP024805.1	Escherichia coli strain AMA1167 plasmid pAMA1167-NDM-5, complete sequence	circular	111310	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pAMA1167-NDM-5	AMA1167	2015	Denmark	IncFIB,IncFIA,IncFII,IncQ1,IncFIIA	MOBF	NA	NA	Mobilizable
NZ_CP024813.1	Enterobacter sp. CRENT-193 plasmid pCRENT-193_1, complete sequence	circular	298989	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. CRENT-193	pCRENT-193_1	CRENT-193	2013	South Korea: Seoul	rep_cluster_1088,IncH	MOBH	MPF_F	MOBH	Conjugative
NZ_CP024814.1	Enterobacter sp. CRENT-193 plasmid pCRENT-193_2, complete sequence	circular	44962	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. CRENT-193	pCRENT-193_2	CRENT-193	2013	South Korea: Seoul	IncX3	MOBP	MPF_T	NA	Conjugative
NZ_CP024816.1	Escherichia coli strain CREC-629 plasmid pCREC-629_1, complete sequence	circular	176274	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pCREC-629_1	CREC-629	2015	South Korea: Jeonnam	IncFIIA,IncFIB,IncFIA,IncFII	MOBF	MPF_F	NA	Conjugative
NZ_CP024817.1	Escherichia coli strain CREC-629 plasmid pCREC-629_2, complete sequence	circular	96990	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pCREC-629_2	CREC-629	2015	South Korea: Jeonnam	IncY	NA	NA	NA	Non-mobilizable
NZ_CP024818.1	Escherichia coli strain CREC-629 plasmid pCREC-629_3, complete sequence	circular	46161	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pCREC-629_3	CREC-629	2015	South Korea: Jeonnam	IncX3	MOBP	MPF_T	NA	Conjugative
NZ_CP024820.1	Citrobacter freundii strain CRCB-101 plasmid pCRCB-101_1, complete sequence	circular	46161	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	pCRCB-101_1	CRCB-101	2015	South Korea: Incheon	IncX3	MOBP	MPF_T	NA	Conjugative
NZ_CP024822.1	Escherichia coli strain CREC-591 plasmid pCREC-591_1, complete sequence	circular	118156	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pCREC-591_1	CREC-591	2015	South Korea: Incheon	IncI1	MOBP	MPF_I	MOBP	Conjugative
NZ_CP024823.1	Escherichia coli strain CREC-591 plasmid pCREC-591_2, complete sequence	circular	64564	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pCREC-591_2	CREC-591	2015	South Korea: Incheon	IncFIIA,IncFII	MOBF	MPF_F	NA	Conjugative
NZ_CP024824.1	Escherichia coli strain CREC-591 plasmid pCREC-591_3, complete sequence	circular	62815	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pCREC-591_3	CREC-591	2015	South Korea: Incheon	IncA/C2	NA	MPF_F	MOBH	Mobilizable
NZ_CP024825.1	Escherichia coli strain CREC-591 plasmid pCREC-591_4, complete sequence	circular	46161	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pCREC-591_4	CREC-591	2015	South Korea: Incheon	IncX3	MOBP	MPF_T	NA	Conjugative
NZ_CP024827.1	Escherichia coli strain CREC-544 plasmid pCREC-544_1, complete sequence	circular	122937	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pCREC-544_1	CREC-544	2015	South Korea: Incheon	IncFIB,IncFIIA,IncFII	MOBF,MOBP	MPF_F	MOBF	Conjugative
NZ_CP024828.1	Escherichia coli strain CREC-544 plasmid pCREC-544_2, complete sequence	circular	51455	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pCREC-544_2	CREC-544	2015	South Korea: Incheon	IncX3	MOBP	MPF_T	NA	Conjugative
NZ_CP024829.1	Escherichia coli strain CREC-544 plasmid pCREC-544_3, complete sequence	circular	32182	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pCREC-544_3	CREC-544	2015	South Korea: Incheon	NA	NA	NA	NA	Non-mobilizable
